"and, 6
"anna!, 1
"are, 2
"ask, 1
"bah!", 2
"because, 2
"because,", 1
"before, 1
"both, 1
"business!", 1
"but, 8
"came, 1
"can, 2
"christmas, 2
"come,, 1
"couldn't, 1
"did, 1
"don't, 2
"dreadful, 1
"every, 1
"expect, 1
"get, 1
"getting, 1
"god, 2
"good, 6
"gregor!, 1
"gregor",, 2
"gregor,, 3
"gregor?, 1
"have, 1
"he's, 1
"hear, 1
"help,, 1
"how, 3
"humbug!", 3
"humbug.", 1
"i'll, 3
"i'm, 2
"i--i, 1
"it's, 5
"jacob,", 1
"keep, 3
"let, 2
"liberality,", 1
"listen",, 1
"man, 1
"mankind, 1
"many, 1
"mercy!", 1
"merry, 1
"mother,, 1
"mother?", 1
"mr., 2
"much, 1
"much!"--marley's, 1
"nay,, 1
"nephew!", 1
"no",, 1
"not, 1
"nothing!", 1
"notwithstanding.", 1
"now,, 1
"nuts", 1
"oh!, 2
"oh!",, 1
"oh,, 2
"old, 1
"plenty, 1
"pooh,, 1
"scrooge, 1
"seven, 3
"since, 1
"slow!", 1
"so,, 1
"something's, 1
"surely, 1
"tell, 1
"thank'ee!", 1
"that, 4
"that'll, 1
"the, 4
"there, 1
"there's, 1
"they, 2
"they're, 1
"this, 1
"uncle!", 1
"under, 1
"well, 2
"well!", 1
"what, 6
"what's, 2
"when, 1
"who, 2
"why, 2
"why?", 1
"without, 1
"yes,, 2
"you, 13
"you'll, 2
"you're, 1
'change,, 1
'deed, 1
'em., 1
'fraid, 1
'long, 3
'low, 1
'lowed, 1
'merry, 1
'nuff!”, 1
'nuff!”--and, 1
'pears, 1
'tend, 2
(for, 3
(godwin), 1
(great, 1
(july, 1
(picking, 1
(samuel, 1
(scrooge, 1
(that, 1
(the, 2
(they, 1
(though, 1
(trying, 1
(whereby, 1
11th,, 1
13th,, 1
17—., 6
1858., 1
1866., 1
1888—i, 1
1890., 1
1890.”, 1
19th,, 1
2,000, 1
28th, 1
30,000, 1
30,000;, 1
31st), 1
5:15, 1
5th,, 1
7th,, 1
[both, 1
_ain't_, 1
_all_, 1
_amor, 1
_another, 1
_begob,, 1
_being, 1
_bijou_, 1
_brown_, 1
_but, 1
_carte, 1
_ceylon_,, 1
_course_, 1
_do_, 4
_don't_, 2
_employé_, 1
_encyclopædia, 2
_encyclopædia_, 1
_encyclopædia_,, 1
_epi, 1
_fair, 1
_god, 1
_got_, 1
_incognito_, 1
_is_, 2
_keeping;_, 1
_laissez, 1
_like_, 1
_liliata, 1
_lively_, 1
_make_, 1
_me_, 2
_née_, 1
_obliged_, 1
_omphalos_., 1
_partie, 1
_prix, 1
_put, 1
_repulse_,, 1
_said_, 1
_say_, 1
_saying_, 1
_schiavi, 1
_shall_, 1
_she'd_, 1
_she_, 3
_shotover_,, 1
_skrimshander_., 1
_some_,, 1
_sums_, 1
_thalatta!, 1
_that, 1
_that_, 2
_the, 2
_the_, 2
_this_, 3
_through_, 1
_will_, 1
_will_,, 1
_will_.”, 1
_won’t_, 1
_work_,, 1
_work_--wouldn't, 1
_you_, 1
_you_,, 2
_zut!, 1
_übermensch._, 1
_—for, 1
